bt_date_bt_time,Date,Time,Kitchen Sphere Gateway,In Kitchen
28-03-19 14:59,28-03-19,14:59:20:000000,-85,0
28-03-19 15:00,28-03-19,15:00:00:000000,-85.275,0
28-03-19 15:00,28-03-19,15:00:40:000000,-85.05,0
28-03-19 15:01,28-03-19,15:01:20:000000,-85.225,0
28-03-19 15:02,28-03-19,15:02:00:000000,-85.375,0
28-03-19 15:02,28-03-19,15:02:40:000000,-85.825,0
28-03-19 15:03,28-03-19,15:03:20:000000,-85.525,0
28-03-19 15:04,28-03-19,15:04:00:000000,-85.35,0
28-03-19 15:04,28-03-19,15:04:40:000000,-85.4,0
28-03-19 15:05,28-03-19,15:05:20:000000,-85.375,0
28-03-19 15:06,28-03-19,15:06:00:000000,-85.425,0
28-03-19 15:06,28-03-19,15:06:40:000000,-85.53846154,0
28-03-19 15:07,28-03-19,15:07:20:000000,-85.30769231,0
28-03-19 15:08,28-03-19,15:08:00:000000,-86.13157895,0
28-03-19 15:08,28-03-19,15:08:40:000000,-85.375,0
28-03-19 15:09,28-03-19,15:09:20:000000,-85.6,0
28-03-19 15:10,28-03-19,15:10:00:000000,-85.15,0
28-03-19 15:10,28-03-19,15:10:40:000000,-85.56410256,0
28-03-19 15:11,28-03-19,15:11:20:000000,-85.15,0
28-03-19 15:12,28-03-19,15:12:00:000000,-85.66666667,0
28-03-19 15:12,28-03-19,15:12:40:000000,-86.05,0
28-03-19 15:13,28-03-19,15:13:20:000000,-85.4,0
28-03-19 15:14,28-03-19,15:14:00:000000,-85.35,0
28-03-19 15:14,28-03-19,15:14:40:000000,-85.65,0
28-03-19 15:15,28-03-19,15:15:20:000000,-85.25641026,0
28-03-19 15:16,28-03-19,15:16:00:000000,-85.05128205,0
28-03-19 15:16,28-03-19,15:16:40:000000,-85.23684211,0
28-03-19 15:17,28-03-19,15:17:20:000000,-85.925,0
28-03-19 15:18,28-03-19,15:18:00:000000,-85.275,0
28-03-19 15:18,28-03-19,15:18:40:000000,-85.07692308,0
28-03-19 15:19,28-03-19,15:19:20:000000,-85.64102564,0
28-03-19 15:20,28-03-19,15:20:00:000000,-85.6,0
28-03-19 15:20,28-03-19,15:20:40:000000,-85.4,0
28-03-19 15:21,28-03-19,15:21:20:000000,-85.5,0
28-03-19 15:22,28-03-19,15:22:00:000000,-84.85714286,0
28-03-19 15:22,28-03-19,15:22:40:000000,-86.075,0
28-03-19 15:23,28-03-19,15:23:20:000000,-85.20512821,0
28-03-19 15:24,28-03-19,15:24:00:000000,-85.2,0
28-03-19 15:24,28-03-19,15:24:40:000000,-86.08108108,0
28-03-19 15:25,28-03-19,15:25:20:000000,-85.075,0
28-03-19 15:26,28-03-19,15:26:00:000000,-85.71794872,0
28-03-19 15:26,28-03-19,15:26:40:000000,-85.7,0
28-03-19 15:27,28-03-19,15:27:20:000000,-85.05,0
28-03-19 15:28,28-03-19,15:28:00:000000,-85.225,0
28-03-19 15:28,28-03-19,15:28:40:000000,-85.475,0
28-03-19 15:29,28-03-19,15:29:20:000000,-85.55,0
28-03-19 15:30,28-03-19,15:30:00:000000,-85.3,0
28-03-19 15:30,28-03-19,15:30:40:000000,-85.55,0
28-03-19 15:31,28-03-19,15:31:20:000000,-85.55,0
28-03-19 15:32,28-03-19,15:32:00:000000,-85.33333333,0
28-03-19 15:32,28-03-19,15:32:40:000000,-85.20512821,0
