bt_date_bt_time,Date,Time,uid,TimeSecond 0,TimeSecond 1,TimeSecond 2,TimeSecond 3,TimeSecond 4,TimeSecond 5,TimeSecond 6,TimeSecond 7,TimeSecond 8,TimeSecond 9,TimeSecond 10,TimeSecond 11,TimeSecond 12,TimeSecond 13,TimeSecond 14,TimeSecond 15,TimeSecond 16,TimeSecond 17,TimeSecond 18,TimeSecond 19,TimeSecond 20,TimeSecond 21,TimeSecond 22,TimeSecond 23,TimeSecond 24,TimeSecond 25,TimeSecond 26,TimeSecond 27,TimeSecond 28,TimeSecond 29
28-03-19 15:01,28-03-19,15:01:08:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:28:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:13:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:20:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:25:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:45:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:39:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:59:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:33:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:53:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:38:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:58:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:48:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:01,28-03-19,15:01:40:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:00:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:05:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:05:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:13:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:18:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:18:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:39:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:20:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:40:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:08:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:28:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:48:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:33:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:25:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:45:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:39:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:58:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:53:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:13:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:00:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:08:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:02,28-03-19,15:02:58:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:18:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:05:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:25:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:19:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:19:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:33:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:39:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:20:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:40:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:39:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:58:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:28:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:48:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:45:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:05:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:53:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:26:000000,bedroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:00:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:20:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:03,28-03-19,15:03:59:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:19:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:12:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:33:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:08:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:28:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:25:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:18:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:26:000000,bedroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:40:000000,staircase 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:52:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:39:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:59:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:45:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:05,28-03-19,15:05:05:000000,dining room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:39:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:59:000000,kitchen 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:48:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:05,28-03-19,15:05:08:000000,hall 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:04,28-03-19,15:04:46:000000,bedroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:05,28-03-19,15:05:06:000000,bedroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:05,28-03-19,15:05:13:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:05,28-03-19,15:05:32:000000,living room 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:05,28-03-19,15:05:19:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-19 15:05,28-03-19,15:05:38:000000,bathroom 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
