bt_date_bt_time,BMP_TEMP,HDC_TEMP,HDC_HUM,Date,Time
2019-03-28 15:00:00,17.66,17.85,58.74,28-03-2019,15:00:00:000000
2019-03-28 15:00:40,17.67,17.85,58.69,28-03-2019,15:00:40:000000
2019-03-28 15:01:20,17.665,17.86,58.64,28-03-2019,15:01:20:000000
2019-03-28 15:02:00,17.67,17.85,58.64,28-03-2019,15:02:00:000000
2019-03-28 15:02:40,17.67,17.855,58.55,28-03-2019,15:02:40:000000
2019-03-28 15:03:20,17.665,17.855,58.55,28-03-2019,15:03:20:000000
2019-03-28 15:04:00,17.67,17.85,58.55,28-03-2019,15:04:00:000000
2019-03-28 15:04:40,17.675,17.86,58.55,28-03-2019,15:04:40:000000
2019-03-28 15:05:20,17.66,17.85,58.45,28-03-2019,15:05:20:000000
2019-03-28 15:06:00,17.665,17.855,58.45,28-03-2019,15:06:00:000000
2019-03-28 15:06:40,17.66,17.85,58.45,28-03-2019,15:06:40:000000
2019-03-28 15:07:20,17.67,17.85,58.45,28-03-2019,15:07:20:000000
2019-03-28 15:08:00,17.665,17.855,58.45,28-03-2019,15:08:00:000000
2019-03-28 15:08:40,17.66,17.85,58.45,28-03-2019,15:08:40:000000
2019-03-28 15:09:20,17.65,17.84,58.45,28-03-2019,15:09:20:000000
2019-03-28 15:10:00,17.66,17.85,58.35,28-03-2019,15:10:00:000000
2019-03-28 15:10:40,17.65,17.85,58.35,28-03-2019,15:10:40:000000
2019-03-28 15:11:20,17.655,17.85,58.35,28-03-2019,15:11:20:000000
2019-03-28 15:12:00,17.65,17.83,58.35,28-03-2019,15:12:00:000000
2019-03-28 15:12:40,17.655,17.84,58.35,28-03-2019,15:12:40:000000
2019-03-28 15:13:20,17.65,17.83,58.26,28-03-2019,15:13:20:000000
2019-03-28 15:14:00,17.64,17.83,58.26,28-03-2019,15:14:00:000000
2019-03-28 15:14:40,17.645,17.83,58.26,28-03-2019,15:14:40:000000
2019-03-28 15:15:20,17.65,17.82,58.26,28-03-2019,15:15:20:000000
2019-03-28 15:16:00,17.634999999999998,17.83,58.26,28-03-2019,15:16:00:000000
2019-03-28 15:16:40,17.64,17.83,58.26,28-03-2019,15:16:40:000000
2019-03-28 15:17:20,17.64,17.83,58.26,28-03-2019,15:17:20:000000
2019-03-28 15:18:00,17.64,17.82,58.209999999999994,28-03-2019,15:18:00:000000
2019-03-28 15:18:40,17.63,17.82,58.16,28-03-2019,15:18:40:000000
2019-03-28 15:19:20,17.634999999999998,17.82,58.16,28-03-2019,15:19:20:000000
2019-03-28 15:20:00,17.63,17.82,58.16,28-03-2019,15:20:00:000000
2019-03-28 15:20:40,17.625,17.82,58.16,28-03-2019,15:20:40:000000
2019-03-28 15:21:20,17.625,17.810000000000002,58.16,28-03-2019,15:21:20:000000
2019-03-28 15:22:00,17.62,17.8,58.16,28-03-2019,15:22:00:000000
2019-03-28 15:22:40,17.615000000000002,17.810000000000002,58.16,28-03-2019,15:22:40:000000
2019-03-28 15:23:20,17.62,17.8,58.16,28-03-2019,15:23:20:000000
2019-03-28 15:24:00,17.61,17.8,58.16,28-03-2019,15:24:00:000000
2019-03-28 15:24:40,17.62,17.810000000000002,58.16,28-03-2019,15:24:40:000000
2019-03-28 15:25:20,17.62,17.8,58.16,28-03-2019,15:25:20:000000
2019-03-28 15:26:00,17.61,17.8,58.16,28-03-2019,15:26:00:000000
2019-03-28 15:26:40,17.61,17.8,58.16,28-03-2019,15:26:40:000000
2019-03-28 15:27:20,17.61,17.8,58.16,28-03-2019,15:27:20:000000
2019-03-28 15:28:00,17.62,17.8,58.11,28-03-2019,15:28:00:000000
2019-03-28 15:28:40,17.61,17.8,58.06,28-03-2019,15:28:40:000000
2019-03-28 15:29:20,17.605,17.78,58.06,28-03-2019,15:29:20:000000
2019-03-28 15:30:00,17.61,17.78,58.06,28-03-2019,15:30:00:000000
2019-03-28 15:30:40,17.6,17.78,58.06,28-03-2019,15:30:40:000000
2019-03-28 15:31:20,17.6,17.77,58.06,28-03-2019,15:31:20:000000
2019-03-28 15:32:00,17.595,17.775,58.06,28-03-2019,15:32:00:000000
2019-03-28 15:32:40,17.59,17.775,58.06,28-03-2019,15:32:40:000000
2019-03-28 15:33:20,17.59,17.77,58.06,28-03-2019,15:33:20:000000
2019-03-28 15:34:00,17.59,17.77,58.06,28-03-2019,15:34:00:000000
2019-03-28 15:34:40,17.59,17.77,58.06,28-03-2019,15:34:40:000000
2019-03-28 15:35:20,17.59,17.775,58.06,28-03-2019,15:35:20:000000
2019-03-28 15:36:00,17.595,17.77,58.06,28-03-2019,15:36:00:000000
2019-03-28 15:36:40,17.59,17.77,58.015,28-03-2019,15:36:40:000000
2019-03-28 15:37:20,17.58,17.759999999999998,57.97,28-03-2019,15:37:20:000000
2019-03-28 15:38:00,17.58,17.75,57.97,28-03-2019,15:38:00:000000
2019-03-28 15:38:40,17.58,17.759999999999998,57.97,28-03-2019,15:38:40:000000
2019-03-28 15:39:20,17.575,17.75,57.97,28-03-2019,15:39:20:000000
2019-03-28 15:40:00,17.58,17.75,57.97,28-03-2019,15:40:00:000000
2019-03-28 15:40:40,17.575,17.75,57.97,28-03-2019,15:40:40:000000
2019-03-28 15:41:20,17.57,17.75,57.87,28-03-2019,15:41:20:000000
2019-03-28 15:42:00,17.57,17.75,57.87,28-03-2019,15:42:00:000000
2019-03-28 15:42:40,17.56,17.744999999999997,57.87,28-03-2019,15:42:40:000000
2019-03-28 15:43:20,17.56,17.75,57.87,28-03-2019,15:43:20:000000
2019-03-28 15:44:00,17.564999999999998,17.744999999999997,57.87,28-03-2019,15:44:00:000000
2019-03-28 15:44:40,17.55,17.75,57.87,28-03-2019,15:44:40:000000
2019-03-28 15:45:20,17.56,17.74,57.78,28-03-2019,15:45:20:000000
2019-03-28 15:46:00,17.56,17.74,57.78,28-03-2019,15:46:00:000000
2019-03-28 15:46:40,17.564999999999998,17.74,57.75,28-03-2019,15:46:40:000000
2019-03-28 15:47:20,17.555,17.74,57.78,28-03-2019,15:47:20:000000
2019-03-28 15:48:00,17.55,17.74,57.78,28-03-2019,15:48:00:000000
2019-03-28 15:48:40,17.56,17.735,57.78,28-03-2019,15:48:40:000000
2019-03-28 15:49:20,17.56,17.74,57.765,28-03-2019,15:49:20:000000
2019-03-28 15:50:00,17.555,17.729999999999997,57.78,28-03-2019,15:50:00:000000
2019-03-28 15:50:40,17.555,17.74,57.765,28-03-2019,15:50:40:000000
2019-03-28 15:51:20,17.55,17.74,57.730000000000004,28-03-2019,15:51:20:000000
